Layer 1,4,6,8,10,12,14,16,20,24,32
4.000000000000000000e+00,8.508999943733215332e-01,8.697999715805053711e-01,8.087999820709228516e-01,8.284999728202819824e-01,8.277999758720397949e-01,8.672999739646911621e-01,8.391000032424926758e-01,8.524000048637390137e-01,8.676000237464904785e-01,8.658999800682067871e-01
6.000000000000000000e+00,8.676000237464904785e-01,8.917000293731689453e-01,8.939999938011169434e-01,8.959000110626220703e-01,9.049000144004821777e-01,9.006999731063842773e-01,8.906000256538391113e-01,9.071000218391418457e-01,9.072999954223632812e-01,9.150000214576721191e-01
8.000000000000000000e+00,8.912000060081481934e-01,8.984000086784362793e-01,9.089999794960021973e-01,9.222999811172485352e-01,9.149000048637390137e-01,9.182000160217285156e-01,9.241999983787536621e-01,9.183999896049499512e-01,9.261000156402587891e-01,9.269999861717224121e-01
1.000000000000000000e+01,8.973000049591064453e-01,9.047999978065490723e-01,9.222999811172485352e-01,9.194999933242797852e-01,9.273999929428100586e-01,9.302999973297119141e-01,9.250000119209289551e-01,9.315999746322631836e-01,9.338999986648559570e-01,9.361000061035156250e-01
1.200000000000000000e+01,9.046999812126159668e-01,9.118000268936157227e-01,9.265000224113464355e-01,9.314000010490417480e-01,9.265999794006347656e-01,9.308000206947326660e-01,9.322000145912170410e-01,9.361000061035156250e-01,9.399999976158142090e-01,9.362999796867370605e-01
1.400000000000000000e+01,9.122999906539916992e-01,9.229999780654907227e-01,9.279000163078308105e-01,9.327999949455261230e-01,9.368000030517578125e-01,9.348000288009643555e-01,9.386000037193298340e-01,9.387999773025512695e-01,9.320999979972839355e-01,9.422000050544738770e-01
1.600000000000000000e+01,9.221000075340270996e-01,9.215000271797180176e-01,9.343000054359436035e-01,9.435999989509582520e-01,9.401999711990356445e-01,9.430999755859375000e-01,9.388999938964843750e-01,9.433000087738037109e-01,9.509000182151794434e-01,9.496999979019165039e-01
2.000000000000000000e+01,9.319000244140625000e-01,9.333999752998352051e-01,9.388999938964843750e-01,9.441999793052673340e-01,9.462000131607055664e-01,9.441999793052673340e-01,9.490000009536743164e-01,9.463000297546386719e-01,9.484000205993652344e-01,9.502999782562255859e-01
2.400000000000000000e+01,9.247000217437744141e-01,9.431999921798706055e-01,9.427999854087829590e-01,9.437999725341796875e-01,9.520000219345092773e-01,9.492999911308288574e-01,9.484000205993652344e-01,9.498000144958496094e-01,9.621999859809875488e-01,9.537000060081481934e-01
3.200000000000000000e+01,9.426000118255615234e-01,9.448000192642211914e-01,9.513000249862670898e-01,9.578999876976013184e-01,9.553999900817871094e-01,9.560999870300292969e-01,9.569000005722045898e-01,9.563000202178955078e-01,9.542999863624572754e-01,9.621999859809875488e-01
